File	Type	Title	Function	Needs Change	File|Type|Title|Function
advanced-bonfires.json 	Algorithm	 Validate US Telephone Numbers 	 telephoneCheck		
advanced-bonfires.json 	Algorithm	 Symmetric Difference 	 sym		
advanced-bonfires.json 	Algorithm	 Exact Change 	 drawer	x	advanced-bonfires.json |Algorithm| Exact Change | drawer
advanced-bonfires.json 	Algorithm	 Inventory Update 	 inventory	x	advanced-bonfires.json |Algorithm| Inventory Update | inventory
advanced-bonfires.json 	Algorithm	 No repeats please 	 permAlone		
advanced-bonfires.json 	Algorithm	 Friendly Date Ranges 	 friendly	x	advanced-bonfires.json |Algorithm| Friendly Date Ranges | friendly
advanced-bonfires.json 	Algorithm	 Map the Debris 	 orbitalPeriod		
advanced-bonfires.json 	Algorithm	 Pairwise 	 pairwise		
basic-bonfires.json 	Algorithm	 Reverse a String 	 reverseString		
basic-bonfires.json 	Algorithm	 Factorialize a Number 	 factorialize		
basic-bonfires.json 	Algorithm	 Check for Palindromes 	 palindrome		
basic-bonfires.json 	Algorithm	 Find the Longest Word in a String 	 findLongestWord		
basic-bonfires.json 	Algorithm	 Title Case a Sentence 	 titleCase		
basic-bonfires.json 	Algorithm	 Return Largest Numbers in Arrays 	 largestOfFour		
basic-bonfires.json 	Algorithm	 Confirm the Ending 	 end	x	basic-bonfires.json |Algorithm| Confirm the Ending | end
basic-bonfires.json 	Algorithm	 Repeat a string repeat a string 	 repeat	x	basic-bonfires.json |Algorithm| Repeat a string repeat a string | repeat
basic-bonfires.json 	Algorithm	 Truncate a string 	 truncate	x	basic-bonfires.json |Algorithm| Truncate a string | truncate
basic-bonfires.json 	Algorithm	 Chunky Monkey 	 chunk	x	basic-bonfires.json |Algorithm| Chunky Monkey | chunk
basic-bonfires.json 	Algorithm	 Slasher Flick 	 slasher		
basic-bonfires.json 	Algorithm	 Mutations 	 mutation		
basic-bonfires.json 	Algorithm	 Falsy Bouncer 	 bouncer		
basic-bonfires.json 	Algorithm	 Seek and Destroy 	 destroyer		
basic-bonfires.json 	Algorithm	 Where do I belong 	 where	x	basic-bonfires.json |Algorithm| Where do I belong | where
basic-bonfires.json 	Algorithm	 Caesars Cipher 	 rot13		
basic-javascript.json 	Algorithm	 Convert Celsius to Fahrenheit 	 convert	x	basic-javascript.json |Algorithm| Convert Celsius to Fahrenheit | convert
basic-javascript.json 	Algorithm	 Word Blanks 	 wordBlanks		
basic-javascript.json 	Challenge	 Write Reusable JavaScript with Functions 	 ourFunction	x	basic-javascript.json |Challenge| Write Reusable JavaScript with Functions | ourFunction
basic-javascript.json 	Challenge	 Passing Values to Functions with Arguments 	 ourFunction	x	basic-javascript.json |Challenge| Passing Values to Functions with Arguments | ourFunction
basic-javascript.json 	Challenge	 Global Scope and Functions 	 fun1		
basic-javascript.json 	Challenge	 Global Scope and Functions 	 fun2		
basic-javascript.json 	Challenge	 Local Scope and Functions 	 myFunction	x	basic-javascript.json |Challenge| Local Scope and Functions | myFunction
basic-javascript.json 	Challenge	 Global vs. Local Scope in Functions 	 myFunction	x	basic-javascript.json |Challenge| Global vs. Local Scope in Functions | myFunction
basic-javascript.json 	Challenge	 Return a Value from a Function with Return 	 minusSeven		
basic-javascript.json 	Challenge	 Assignment with a Returned Value 	 change	x	basic-javascript.json |Challenge| Assignment with a Returned Value | change
basic-javascript.json 	Challenge	 Assignment with a Returned Value 	 process	x	basic-javascript.json |Challenge| Assignment with a Returned Value | process
